CustomerID,Name,Address,Phone,Email,BusinessType,ProjectAuthority,Budget,ComplianceRequirements,RiskManagementStrategy,StakeholderCount,CommunicationMethod,QualityStandards,StatesOperatedIn
1,Williams-Clark,"91532 Adams Brook
Port Donald, CT 97959",(891)799-2790x8267,kristidunn@patterson.com,Inc,Amanda Pierce,98515.19,Recent since against environmental.,Scene meet late space research religious send.,8,Video call,Message close figure social ready.,"Texas, Pennsylvania, Illinois"
2,Hunter LLC,"242 Katelyn Plains
Washingtontown, AL 04192",001-595-440-4681,jose01@mcgee.com,Inc,Christopher Barnett,62787.94,Media purpose difficult specific leader computer.,Interest agency their worry decision.,1,In-person,Mouth successful direction poor without.,"Illinois, Georgia, Michigan"
3,Miller and Sons,"727 Morse Valleys
Davismouth, MO 03493",(087)463-1262,garciakaitlin@garcia-luna.com,Partnership,Robert Donaldson,77426.58,According tax foot wind home father health.,Poor particular always.,9,In-person,Relationship school movie.,"Texas, Illinois"
4,"Pugh, Brown and Woods","92203 Elizabeth Trace Suite 379
Morganville, CT 17941",+1-479-721-1006x4941,carriedavenport@reyes.org,Corp,John Rodgers,51411.68,Across behavior perform together old significant culture.,Value prove rest city defense some.,9,Video call,Let half speech raise.,"Texas, Ohio, Georgia"
5,"Floyd, Cox and Rodriguez","7234 Tara Ways Apt. 115
South Bianca, KS 49502",8146874727,gavin16@small.biz,LLC,Matthew Lamb,97479.57,Owner arm door show money role.,Present marriage she computer where huge.,3,Email,Drop serious five author over.,Illinois
6,Olson Inc,"364 Justin Extension
Joshuaborough, IA 26416",(351)194-8243x46092,leah16@griffin.biz,LLC,Cynthia Lee,25633.7,Fish receive actually prove we order media.,Debate stage outside present.,1,Phone,World floor better just.,"Ohio, Michigan, Pennsylvania"
7,Walker-Cline,"14262 Sandoval Fall Suite 293
Lake Lauraport, RI 29037",037-738-1185,gibbsnicole@moreno.com,LLC,Rick Thompson,21612.17,Drop partner meeting condition around.,Argue staff learn.,10,In-person,He around to seat.,"California, Pennsylvania, Illinois"
8,"Jensen, Martin and Burke","8596 Garcia Wall Suite 456
Port Mark, WY 32660",9944081370,tylerhannah@lowe.biz,LLC,Cheryl Cox,13089.88,I source history I goal certainly.,Lose world argue build.,7,In-person,Student bit community.,"Illinois, Georgia"
9,Herrera Ltd,"289 Angel Bypass
Amyton, IN 67778",+1-640-064-2640x857,danielwheeler@prince.com,Partnership,Dr. Chloe Mann MD,27963.34,Physical note need it world would.,Whatever summer require.,7,Video call,Year cell Congress final.,"California, Texas"
10,Garner Inc,"114 Johnson Mount
Port Miguelhaven, VT 23763",991.604.0561x598,karenmiller@taylor-werner.org,Inc,Mr. Curtis Thomas,24372.12,Then similar easy similar drop professor clearly.,Pass reflect put police five across brother hospital.,8,Email,Ever newspaper medical must listen soon.,Texas
